"Name","Fill_rate","Normal_capacity","Reserve","Date"
"Al Wahda","58.8","3522.3","2070.1","2018-11-27"
"Al Wahda","42","3522.3","1479.1","2017-11-27"
"El Kensera","92","216.4","199.2","2018-11-27"
"El Kensera","40.1","216.4","86.7","2017-11-27"
"Bin El Ouidane","72.4","1215.5","879.5","2018-11-27"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-27"
"Al Hanssali","54.2","668.2","362.1","2018-11-27"
"Al Hanssali","35.2","668.2","235","2017-11-27"
"Al Massira","30.1","2657","800.5","2018-11-27"
"Al Massira","18.3","2657","486.2","2017-11-27"
"Oued El Makhazine","89.7","672.9","603.9","2018-11-28"
"Oued El Makhazine","44.8","672.9","301.2","2017-11-28"
"Hassan II","68.8","392.3","269.7","2018-11-28"
"Hassan II","16.9","392.3","66.1","2017-11-28"
"Oued ZA","97.3","94.9","92.3","2018-11-28"
"Oued ZA","19","94.9","18","2017-11-28"
"Mohamed V","98.2","239.5","235.2","2018-11-28"
"Mohamed V","1.4","239.5","3.5","2017-11-28"
"Idriss 1er","75.5","1129.6","853.3","2018-11-28"
"Idriss 1er","38.1","1129.6","430.8","2017-11-28"
"Al Wahda","58.9","3522.3","2074.6","2018-11-28"
"Al Wahda","42","3522.3","1479.1","2017-11-28"
"El Kensera","92.5","216.4","200.2","2018-11-28"
"El Kensera","40.1","216.4","86.7","2017-11-28"
"Bin El Ouidane","72.7","1215.5","884.2","2018-11-28"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-28"
"Al Hanssali","54.6","668.2","364.6","2018-11-28"
"Al Hanssali","35.2","668.2","234.9","2017-11-28"
"Al Massira","30.4","2657","806.7","2018-11-28"
"Al Massira","18.2","2657","484.4","2017-11-28"
"Oued El Makhazine","90.2","672.9","606.7","2018-11-29"
"Oued El Makhazine","44.7","672.9","300.7","2017-11-29"
"Hassan II","68.9","392.31","270.21","2018-11-29"
"Hassan II","16.8","392.31","66.1","2017-11-29"
"Oued ZA","97.7","94.9","92.7","2018-11-29"
"Oued ZA","17","94.9","16.1","2017-11-29"
"Mohamed V","98.4","239.5","235.7","2018-11-29"
"Mohamed V","1.5","239.5","3.5","2017-11-29"
"Idriss 1er","75.7","1129.6","854.8","2018-11-29"
"Idriss 1er","38.2","1129.6","431.5","2017-11-29"
"Al Wahda","59.1","3522.3","2081.8","2018-11-29"
"Al Wahda","42","3522.3","1479.1","2017-11-29"
"El Kensera","93.8","216.4","203","2018-11-29"
"El Kensera","40.1","216.4","86.7","2017-11-29"
"Bin El Ouidane","73","1215.5","886.9","2018-11-29"
"Bin El Ouidane","17.1","1215.5","207.7","2017-11-29"
"Al Hanssali","54.9","668.2","366.8","2018-11-29"
"Al Hanssali","35.2","668.2","234.9","2017-11-29"
"Al Massira","30.4","2657","808.5","2018-11-29"
"Al Massira","18.1","2657","481.1","2017-11-29"
"Oued El Makhazine","90.5","672.9","608.8","2018-11-30"
"Oued El Makhazine","44.9","672.9","301.9","2017-11-30"
"Hassan II","69","392.31","270.8","2018-11-30"
"Hassan II","16.8","392.31","66","2017-11-30"
"Oued ZA","97.7","94.9","92.7","2018-11-30"
"Oued ZA","12.7","94.9","12","2017-11-30"
"Mohamed V","98.6","239.5","236.1","2018-11-30"
"Mohamed V","5","239.5","12","2017-11-30"
"Idriss 1er","75.8","1129.6","855.8","2018-11-30"
"Idriss 1er","38.4","1129.6","433.5","2017-11-30"
"Al Wahda","59.2","3522.3","2086.4","2018-11-30"
"Al Wahda","42","3522.3","1479.9","2017-11-30"
"El Kensera","94.4","216.4","204.2","2018-11-30"
"El Kensera","40.1","216.4","86.7","2017-11-30"
